name,latitude,longitude,city,id
S.Antonio di M. Punto Info Pab,46.190029,10.78559,Trentino,bus_stop376
S.Antonio di M.-Biv.V.Nambr.,46.188255,10.778146,Trentino,bus_stop377
S.Antonio di M.-Camping Faè,46.185658,10.778451,Trentino,bus_stop378
Carisolo,46.169098,10.763888,Trentino,bus_stop379
Pinzolo-Funivie,46.163722,10.76527,Trentino,bus_stop380
Giustino-Hotel Royal,46.153492,10.766251,Trentino,bus_stop381
Strembo-Bivio Bocenago,46.118148,10.752735,Trentino,bus_stop382
Spiazzo Rend.-Conc.Cozzio,46.110693,10.747685,Trentino,bus_stop383
Mortaso,46.106523,10.739582,Trentino,bus_stop384
Spiazzo Rendena,46.102587,10.736819,Trentino,bus_stop385
Borzago,46.098484,10.734349,Trentino,bus_stop386
Pelugo-Artigianato,46.088019,10.725276,Trentino,bus_stop387
Vigo Rendena-Biv.Val S.Val.,46.082367,10.722319,Trentino,bus_stop388
Vigo Rendena,46.0789,10.719151,Trentino,bus_stop389
Darè,46.075878,10.717462,Trentino,bus_stop390
Iavrè,46.06884,10.711463,Trentino,bus_stop391
Verdesina Bivio,46.056765,10.716636,Trentino,bus_stop392
Tione-Via Circonvallaz.,46.040013,10.727516,Trentino,bus_stop393
Terlago,46.097757,11.044737,Trentino,bus_stop394
Covelo Bivio,46.098388,11.022714,Trentino,bus_stop395
Covelo-Via N.Pooli,46.096643,11.018071,Trentino,bus_stop396
Covelo,46.09829,11.019002,Trentino,bus_stop397
Maso Ariol,46.106105,11.026539,Trentino,bus_stop398
Monte Terlago-Bivio,46.108224,11.035937,Trentino,bus_stop399
Monte Terlago-P.Zza,46.109656,11.037891,Trentino,bus_stop400
Monte Terlago Vallene,46.108947,11.042847,Trentino,bus_stop401
Monte Terlago-H. 2 Laghi,46.112079,11.046116,Trentino,bus_stop402
Cadine,46.088856,11.06451,Trentino,bus_stop403
Trento Maso Pedrotti,46.07556,11.09822,Trentino,bus_stop404
Trento Loc. S.Antonio,46.069885,11.100436,Trentino,bus_stop405
Sardagna-Maso Scala,46.069871,11.097745,Trentino,bus_stop406
Sardagna,46.064849,11.097287,Trentino,bus_stop407
Sardagna-Tornante Sp 85,46.071419,11.08698,Trentino,bus_stop408
Candriai,46.065418,11.083405,Trentino,bus_stop409
Candriai-Erica,46.063071,11.082257,Trentino,bus_stop410
Centro A.Degasperi,46.05963,11.077753,Trentino,bus_stop411
Vaneze-Bivio Prà Della Fava,46.056969,11.076345,Trentino,bus_stop412
Bolbeno-Bivio,46.034111,10.735531,Trentino,bus_stop413
Zuclo Bivio-Segh. Tonello,46.038509,10.744192,Trentino,bus_stop414
Zuclo Morace Antichità R,46.04191,10.753683,Trentino,bus_stop415
Preore-Loc. Signor,46.04491,10.752912,Trentino,bus_stop416
